"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-10-01 00:00","2012","10","01","00:00","11.5","","11.1","","97","","","","27","","15","","19.3","","99.62","","","","","","Rain"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-10-01 01:00","2012","10","01","01:00","11.4","","11.1","","98","","","","26","","17","","6.4","","99.56","","","","","","Rain,Fog"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-10-01 02:00","2012","10","01","02:00","11.3","","11.2","","99","","","","25","","15","","6.4","","99.50","","","","","","Rain,Fog"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-10-01 03:00","2012","10","01","03:00","11.2","","11.0","","99","","","","26","","17","","8.0","","99.44","","","","","","Rain,Fog"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-10-01 04:00","2012","10","01","04:00","11.3","","11.1","","99","","","","26","","15","","6.4","","99.44","","","","","","Rain,Fog"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-10-01 05:00","2012","10","01","05:00","11.3","","11.1","","99","","","","27","","15","","8.0","","99.47","","","","","","Rain,Fog"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-10-01 06:00","2012","10","01","06:00","11.7","","11.0","","95","","","","27","","15","","19.3","","99.51","","","","","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-10-01 07:00","2012","10","01","07:00","12.1","","11.2","","94","","","","27","","17","","19.3","","99.60","","","","","","Rain"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-10-01 08:00","2012","10","01","08:00","12.6","","11.8","","95","","","","23","","17","","24.1","","99.70","","","","","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-10-01 09:00","2012","10","01","09:00","14.0","","12.3","","89","","","","27","","19","","24.1","","99.80","","","","","","Mostly Cloudy"
