"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 00:00","2012","06","01","00:00","11.6","","3.8","","59","","","","36","","6","","25.0","","101.21","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 01:00","2012","06","01","01:00","11.3","","3.6","","59","","","","1","","7","","25.0","","101.24","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 02:00","2012","06","01","02:00","10.8","","3.1","","59","","","","2","","9","","25.0","","101.27","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 03:00","2012","06","01","03:00","9.5","","2.6","","62","","","","2","","9","","25.0","","101.29","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 04:00","2012","06","01","04:00","10.1","","2.8","","60","","","","3","","11","","48.3","","101.34","","","","","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 05:00","2012","06","01","05:00","10.7","","3.3","","60","","","","3","","11","","48.3","","101.38","","","","","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 06:00","2012","06","01","06:00","11.6","","4.5","","62","","","","2","","7","","48.3","","101.42","","","","","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 07:00","2012","06","01","07:00","14.6","","5.3","","54","","","","4","","9","","48.3","","101.44","","","","","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 08:00","2012","06","01","08:00","15.2","","3.5","","45","","","","5","","11","","48.3","","101.48","","","","","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 09:00","2012","06","01","09:00","17.1","","4.6","","44","","","","7","","11","","48.3","","101.47","","","","","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 10:00","2012","06","01","10:00","18.5","","1.2","","31","","","","8","","20","","48.3","","101.44","","","","","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 11:00","2012","06","01","11:00","18.4","","1.0","","31","","","","7","","17","","48.3","","101.40","","","","","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 12:00","2012","06","01","12:00","19.3","","3.3","","35","","","","9","","20","","48.3","","101.32","","","","","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 13:00","2012","06","01","13:00","19.5","","4.0","","36","","","","10","","17","","48.3","","101.29","","","","","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 14:00","2012","06","01","14:00","19.6","","4.6","","37","","","","11","","15","","48.3","","101.21","","","","","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 15:00","2012","06","01","15:00","19.8","","4.9","","38","","","","10","","17","","48.3","","101.16","","","","","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 16:00","2012","06","01","16:00","20.2","","4.3","","35","","","","7","","22","","48.3","","101.04","","","","","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 17:00","2012","06","01","17:00","20.2","","4.1","","35","","","","8","","19","","48.3","","101.03","","","","","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-06-01 18:00","2012","06","01","18:00","20.1","","4.6","","36","","","","8","","19","","24.1","","100.98","","","","","","Cloudy"
