"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 00:00","2012","09","01","00:00","19.6","","13.1","","66","","","","3","","11","","25.0","","100.94","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 01:00","2012","09","01","01:00","19.1","","12.5","","66","","","","34","","4","","25.0","","101.00","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 02:00","2012","09","01","02:00","19.1","","12.6","","66","","","","1","","9","","25.0","","101.05","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 03:00","2012","09","01","03:00","17.7","","12.8","","73","","","","2","","11","","25.0","","101.13","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 04:00","2012","09","01","04:00","16.3","","12.8","","80","","","","36","","11","","25.0","","101.21","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 05:00","2012","09","01","05:00","16.0","","12.9","","82","","","","1","","13","","25.0","","101.31","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 06:00","2012","09","01","06:00","16.2","","12.5","","79","","","","2","","13","","48.3","","101.41","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 07:00","2012","09","01","07:00","17.8","","10.6","","63","","","","4","","24","","48.3","","101.48","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 08:00","2012","09","01","08:00","18.6","","9.5","","55","","","","4","","20","","48.3","","101.54","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 09:00","2012","09","01","09:00","20.4","","8.8","","47","","","","4","","15","","48.3","","101.59","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 10:00","2012","09","01","10:00","22.0","","8.5","","42","","","","5","","20","","48.3","","101.60","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 11:00","2012","09","01","11:00","22.7","","6.2","","34","","","","1","","15","","48.3","","101.60","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 12:00","2012","09","01","12:00","23.2","","7.0","","35","","","","36","","13","","48.3","","101.57","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 13:00","2012","09","01","13:00","23.6","","7.0","","34","","","","31","","6","","48.3","","101.54","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 14:00","2012","09","01","14:00","23.5","","6.7","","34","","","","1","","7","","48.3","","101.47","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 15:00","2012","09","01","15:00","24.3","","7.3","","34","","","","1","","7","","48.3","","101.44","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 16:00","2012","09","01","16:00","24.2","","7.0","","33","","","","1","","4","","48.3","","101.43","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 17:00","2012","09","01","17:00","24.0","","6.6","","33","","","","19","","7","","48.3","","101.39","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 18:00","2012","09","01","18:00","22.7","","8.4","","40","","","","19","","9","","48.3","","101.41","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 19:00","2012","09","01","19:00","20.9","","8.3","","44","","","","16","","6","","48.3","","101.45","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 20:00","2012","09","01","20:00","18.8","","9.9","","56","","","","14","","11","","25.0","","101.46","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 21:00","2012","09","01","21:00","18.5","","7.6","","49","","","","14","","7","","25.0","","101.47","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 22:00","2012","09","01","22:00","17.5","","9.2","","58","","","","16","","6","","25.0","","101.46","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-01 23:00","2012","09","01","23:00","17.0","","9.1","","60","","","","17","","7","","25.0","","101.45","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 00:00","2012","09","02","00:00","16.1","","9.0","","63","","","","20","","4","","25.0","","101.47","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 01:00","2012","09","02","01:00","14.0","","9.3","","73","","","","1","","4","","25.0","","101.47","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 02:00","2012","09","02","02:00","13.5","","9.5","","77","","","","1","","4","","25.0","","101.47","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 03:00","2012","09","02","03:00","13.0","","9.5","","79","","","","","","0","","25.0","","101.43","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 04:00","2012","09","02","04:00","13.3","","9.7","","79","","","","","","0","","25.0","","101.41","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 05:00","2012","09","02","05:00","14.2","","10.2","","77","","","","36","","6","","25.0","","101.43","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 06:00","2012","09","02","06:00","13.0","","10.8","","86","","","","1","","7","","24.1","","101.48","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 07:00","2012","09","02","07:00","15.5","","11.6","","78","","","","1","","4","","48.3","","101.49","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 08:00","2012","09","02","08:00","17.3","","11.7","","70","","","","34","","7","","48.3","","101.51","","","","","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 09:00","2012","09","02","09:00","19.1","","11.5","","61","","","","32","","4","","48.3","","101.52","","","","","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 10:00","2012","09","02","10:00","20.7","","11.4","","55","","","","1","","6","","48.3","","101.53","","","","","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 11:00","2012","09","02","11:00","21.8","","10.3","","48","","","","2","","4","","48.3","","101.52","","","","","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 12:00","2012","09","02","12:00","24.4","","8.8","","37","","","","33","","4","","48.3","","101.49","","25","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 13:00","2012","09","02","13:00","25.5","","7.0","","31","","","","6","","9","","48.3","","101.47","","26","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 14:00","2012","09","02","14:00","25.3","","7.4","","32","","","","5","","9","","48.3","","101.45","","25","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 15:00","2012","09","02","15:00","25.6","","6.5","","29","","","","34","","7","","48.3","","101.41","","25","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 16:00","2012","09","02","16:00","25.4","","6.0","","29","","","","5","","11","","48.3","","101.43","","25","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 17:00","2012","09","02","17:00","23.6","","6.9","","34","","","","16","","9","","48.3","","101.44","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 18:00","2012","09","02","18:00","24.0","","6.8","","33","","","","9","","11","","48.3","","101.47","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 19:00","2012","09","02","19:00","20.9","","8.4","","45","","","","11","","13","","48.3","","101.51","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 20:00","2012","09","02","20:00","21.2","","8.5","","44","","","","10","","9","","25.0","","101.52","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 21:00","2012","09","02","21:00","19.7","","9.4","","51","","","","11","","7","","25.0","","101.53","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 22:00","2012","09","02","22:00","19.2","","10.0","","55","","","","11","","4","","25.0","","101.57","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-02 23:00","2012","09","02","23:00","18.7","","9.8","","56","","","","10","","4","","25.0","","101.57","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-03 00:00","2012","09","03","00:00","17.5","","10.2","","62","","","","22","","7","","25.0","","101.60","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-03 01:00","2012","09","03","01:00","15.6","","9.3","","66","","","","","","0","","25.0","","101.61","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-03 02:00","2012","09","03","02:00","13.7","","8.9","","73","","","","3","","6","","25.0","","101.59","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-03 03:00","2012","09","03","03:00","14.0","","10.4","","79","","","","2","","4","","25.0","","101.61","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-03 04:00","2012","09","03","04:00","13.4","","11.0","","85","","","","1","","6","","25.0","","101.63","","","","","","Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-03 05:00","2012","09","03","05:00","14.5","","10.3","","76","","","","4","","6","","25.0","","101.68","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-03 06:00","2012","09","03","06:00","13.4","","10.7","","84","","","","6","","6","","48.3","","101.68","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-03 07:00","2012","09","03","07:00","16.3","","12.2","","77","","","","10","","7","","48.3","","101.69","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-03 08:00","2012","09","03","08:00","18.5","","13.0","","70","","","","14","","11","","48.3","","101.67","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-03 09:00","2012","09","03","09:00","21.1","","11.8","","55","","","","13","","9","","48.3","","101.65","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-03 10:00","2012","09","03","10:00","23.5","","11.7","","47","","","","12","","9","","48.3","","101.63","","26","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-09-03 11:00","2012","09","03","11:00","24.3","","10.9","","43","","","","10","","9","","48.3","","101.59","","26","","","","Mainly Clear"
