"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-02-01 00:00","2012","02","01","00:00","-6.7","","-9.7","","79","","","","3","","19","","11.3","","100.82","","","","-14","","Snow"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-02-01 01:00","2012","02","01","01:00","-6.7","","-9.5","","80","","","","4","","15","","9.7","","100.69","","","","-13","","Snow"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-02-01 02:00","2012","02","01","02:00","-6.8","","-9.3","","82","","","","4","","19","","4.8","","100.61","","","","-14","","Freezing Drizzle"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-02-01 03:00","2012","02","01","03:00","-6.5","","-9.0","","82","","","","3","","15","","4.8","","100.56","","","","-12","","Freezing Rain"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-02-01 04:00","2012","02","01","04:00","-5.8","","-8.2","","83","","","","2","","17","","8.0","","100.48","","","","-12","","Freezing Rain"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-02-01 05:00","2012","02","01","05:00","-5.8","","-8.5","","81","","","","3","","19","","8.0","","100.42","","","","-12","","Freezing Drizzle"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-02-01 06:00","2012","02","01","06:00","-5.4","","-8.0","","82","","","","2","","15","","8.0","","100.34","","","","-11","","Freezing Rain"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-02-01 07:00","2012","02","01","07:00","-5.5","","-8.2","","81","","","","2","","13","","9.7","","100.33","","","","-11","","Freezing Rain"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-02-01 08:00","2012","02","01","08:00","-5.5","","-8.5","","79","","","","1","","11","","11.3","","100.36","","","","-10","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-02-01 09:00","2012","02","01","09:00","-5.7","","-8.6","","80","","","","3","","15","","12.9","","100.36","","","","-11","","Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-02-01 10:00","2012","02","01","10:00","-5.7","","-8.5","","81","","","","2","","13","","8.0","","100.35","","","","-11","","Haze"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-02-01 11:00","2012","02","01","11:00","-5.8","","-8.3","","82","","","","2","","9","","4.0","","100.36","","","","-10","","Freezing Drizzle,Haze"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-02-01 12:00","2012","02","01","12:00","-5.5","","-8.0","","83","","","","3","","11","","2.0","","100.31","","","","-10","","Freezing Drizzle,Haze"
