"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-07-01 00:00","2012","07","01","00:00","22.0","","15.7","","67","","","","","","0","","25.0","","100.10","","26","","","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-07-01 01:00","2012","07","01","01:00","21.1","","16.8","","76","","","","17","","6","","25.0","","100.14","","26","","","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-07-01 02:00","2012","07","01","02:00","20.4","","16.1","","76","","","","32","","9","","24.1","","100.16","","25","","","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-07-01 03:00","2012","07","01","03:00","20.2","","13.8","","67","","","","34","","7","","25.0","","100.22","","","","","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-07-01 04:00","2012","07","01","04:00","20.0","","12.3","","61","","","","33","","6","","24.1","","100.27","","","","","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-07-01 05:00","2012","07","01","05:00","20.2","","12.3","","60","","","","","","0","","24.1","","100.32","","","","","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-07-01 06:00","2012","07","01","06:00","21.0","","12.9","","60","","","","35","","7","","24.1","","100.41","","","","","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-07-01 07:00","2012","07","01","07:00","21.3","","13.4","","61","","","","34","","11","","24.1","","100.46","","","","","","Mostly Cloudy"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-07-01 08:00","2012","07","01","08:00","21.6","","13.1","","58","","","","34","","6","","24.1","","100.50","","","","","","Mainly Clear"
"-73.75","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A","7025250","2012-07-01 09:00","2012","07","01","09:00","22.9","","13.0","","54","","","","29","","4","","48.3","","100.51","","26","","","","Mainly Clear"
